actual,prediction,split
138.0,151.08775,evaluation
168.0,178.76913,evaluation
182.0,182.88759,evaluation
221.0,190.41725,evaluation
204.0,185.67207,evaluation
174.0,159.20389,evaluation
143.0,143.62154,evaluation
152.0,160.32796,evaluation
147.0,139.17009,evaluation
128.0,121.18545,evaluation
140.0,126.09875,evaluation
175.0,132.59938,evaluation
201.0,154.23611,evaluation
189.0,137.9197,evaluation
173.0,137.38034,evaluation
167.0,127.54167,evaluation
136.0,105.35393,evaluation
127.0,103.35648,evaluation
111.0,87.14485,evaluation
92.0,78.03183,evaluation
89.0,81.2326,evaluation
91.0,79.965744,evaluation
85.0,75.78505,evaluation
86.0,79.34695,evaluation
107.0,106.47735,evaluation
130.0,128.21146,evaluation
136.0,141.29059,evaluation
151.0,133.88676,evaluation
150.0,116.76461,evaluation
135.0,107.10666,evaluation
97.0,100.87265,evaluation
97.0,102.95207,evaluation
110.0,111.54582,evaluation
140.0,121.087204,evaluation
132.0,141.26228,evaluation
146.0,126.20352,evaluation
132.0,167.81046,evaluation
191.0,157.05408,evaluation
139.0,110.54851,evaluation
138.0,123.77396,evaluation
121.0,104.18317,evaluation
74.0,75.62045,evaluation
68.0,67.54695,evaluation
75.0,62.61405,evaluation
64.0,56.90575,evaluation
58.0,51.57118,evaluation
61.0,68.92244,evaluation
85.0,106.17418,evaluation
138.0,130.06427,evaluation
185.0,170.38824,evaluation
175.0,144.1003,evaluation
178.0,144.49695,evaluation
178.0,130.06349,evaluation
206.0,122.47058,evaluation
152.0,94.00774,evaluation
155.0,98.01877,evaluation
160.0,84.78375,evaluation
132.0,104.61039,evaluation
105.0,101.58695,evaluation
123.0,117.5517,evaluation
147.0,140.79964,evaluation
135.0,125.83162,evaluation
128.0,111.57968,evaluation
85.0,80.31069,evaluation
46.0,72.70445,evaluation
46.0,57.952705,evaluation
51.0,56.389374,evaluation
38.0,53.704178,evaluation
42.0,51.976746,evaluation
45.0,65.83221,evaluation
52.0,156.99594,evaluation
83.0,97.31881,evaluation
81.0,104.36739,evaluation
95.0,94.869896,evaluation
85.0,92.1275,evaluation
80.0,100.90225,evaluation
79.0,93.3769,evaluation
81.0,87.75182,evaluation
85.0,82.98609,evaluation
88.0,90.62242,evaluation
92.0,131.28694,evaluation
96.0,119.10591,evaluation
100.0,103.58115,evaluation
108.0,111.341415,evaluation
116.0,129.0259,evaluation
113.0,122.13207,evaluation
99.0,107.011635,evaluation
89.0,90.438446,evaluation
78.0,75.02787,evaluation
53.0,65.29224,evaluation
63.0,68.298676,evaluation
57.0,53.28525,evaluation
56.0,53.72343,evaluation
63.0,66.01051,evaluation
73.0,80.98807,evaluation
89.0,90.445274,evaluation
97.0,106.9256,evaluation
102.0,103.407425,evaluation
102.0,103.52341,evaluation
99.0,107.75574,evaluation
90.0,96.919716,evaluation
89.0,82.00038,evaluation
91.0,85.10694,evaluation
91.0,88.14394,evaluation
88.0,90.40588,evaluation
138.0,110.602005,evaluation
145.0,93.86847,evaluation
110.0,96.317055,evaluation
116.0,92.5134,evaluation
90.0,78.11861,evaluation
68.0,63.32102,evaluation
57.0,60.591137,evaluation
56.0,54.214775,evaluation
30.0,38.020576,evaluation
38.0,42.13477,evaluation
50.0,54.74866,evaluation
67.0,56.71201,evaluation
67.0,55.641235,evaluation
81.0,73.83667,evaluation
127.0,105.313705,evaluation
177.0,117.99638,evaluation
205.0,130.76212,evaluation
132.0,130.0045,evaluation
123.0,130.42851,evaluation
116.0,129.72574,evaluation
139.0,165.00282,evaluation
136.0,182.70128,evaluation
171.0,159.59567,evaluation
158.0,158.43121,evaluation
141.0,126.48758,evaluation
156.0,118.33044,evaluation
162.0,118.84067,evaluation
160.0,120.70789,evaluation
132.0,112.713585,evaluation
108.0,103.92725,evaluation
102.0,85.672775,evaluation
90.0,74.89691,evaluation
72.0,75.02787,evaluation
67.0,73.93168,evaluation
69.0,71.86458,evaluation
64.0,65.07506,evaluation
67.0,64.51332,evaluation
83.0,113.74146,evaluation
183.0,145.0661,evaluation
266.0,164.33177,evaluation
251.0,172.78043,evaluation
244.0,169.80516,evaluation
235.0,162.38255,evaluation
195.0,178.33617,evaluation
157.0,147.81541,evaluation
135.0,131.35475,evaluation
116.0,115.80514,evaluation
102.0,114.13061,evaluation
97.0,114.57584,evaluation
118.0,120.57305,evaluation
205.0,168.05878,evaluation
178.0,177.24242,evaluation
177.0,143.93776,evaluation
116.0,118.98542,evaluation
91.0,90.41819,evaluation
75.0,91.1243,evaluation
100.0,121.33919,evaluation
143.0,172.2708,evaluation
197.0,172.73831,evaluation
313.0,191.51048,evaluation
288.0,165.05347,evaluation
244.0,164.24269,evaluation
235.0,172.65065,evaluation
228.0,178.71815,evaluation
186.0,175.39067,evaluation
168.0,198.89066,evaluation
136.0,157.69286,evaluation
140.0,158.99734,evaluation
167.0,149.07379,evaluation
166.0,141.12596,evaluation
204.0,136.43353,evaluation
169.0,126.21844,evaluation
110.0,109.837,evaluation
106.0,96.00111,evaluation
75.0,86.783226,evaluation
80.0,88.353096,evaluation
117.0,116.87944,evaluation
147.0,164.3015,evaluation
189.0,228.81163,evaluation
244.0,281.3534,evaluation
280.0,292.04318,evaluation
235.0,243.36203,evaluation
191.0,247.36183,evaluation
208.0,234.46509,evaluation
199.0,252.95747,evaluation
207.0,259.87335,evaluation
278.0,249.88338,evaluation
241.0,253.29848,evaluation
207.0,263.84348,evaluation
163.0,278.39636,evaluation
208.0,311.45898,evaluation
322.0,346.3211,evaluation
412.0,379.25018,evaluation
392.0,347.43552,evaluation
227.0,203.04152,evaluation
145.0,150.53035,evaluation
173.0,153.25716,evaluation
171.0,162.34755,evaluation
162.0,166.23322,evaluation
197.0,199.5271,evaluation
241.0,297.12277,evaluation
274.0,265.31332,evaluation
283.0,273.15652,evaluation
313.0,285.2622,evaluation
269.0,288.69424,evaluation
248.0,280.7372,evaluation
245.0,268.07553,evaluation
248.0,265.02817,evaluation
244.0,283.51767,evaluation
239.0,278.0189,evaluation
251.0,272.248,evaluation
272.0,272.09286,evaluation
255.0,274.07056,evaluation
266.0,279.02063,evaluation
272.0,298.58603,evaluation
333.0,280.76962,evaluation
212.0,197.83154,evaluation
156.0,153.43196,evaluation
141.0,145.03731,evaluation
127.0,131.86261,evaluation
107.0,121.645905,evaluation
106.0,115.177,evaluation
97.0,113.689026,evaluation
128.0,133.77876,evaluation
262.0,173.57631,evaluation
196.0,161.37483,evaluation
124.0,147.75723,evaluation
155.0,139.7188,evaluation
157.0,137.39468,evaluation
166.0,133.18076,evaluation
167.0,148.91302,evaluation
185.0,171.39432,evaluation
301.0,225.8367,evaluation
328.0,239.79237,evaluation
349.0,224.32698,evaluation
218.0,171.75496,evaluation
160.0,145.01717,evaluation
153.0,144.05841,evaluation
161.0,158.44371,evaluation
123.0,157.49709,evaluation
111.0,172.07295,evaluation
99.0,147.29599,evaluation
99.0,128.2656,evaluation
110.0,137.68655,evaluation
101.0,144.09013,evaluation
111.0,168.20712,evaluation
144.0,208.26328,evaluation
215.0,197.83556,evaluation
272.0,221.52379,evaluation
263.0,227.74596,evaluation
226.0,205.57501,evaluation
197.0,194.51501,evaluation
151.0,177.30367,evaluation
129.0,148.01256,evaluation
147.0,162.10121,evaluation
172.0,183.68886,evaluation
208.0,184.50069,evaluation
195.0,186.47253,evaluation
158.0,178.52573,evaluation
162.0,190.93697,evaluation
161.0,190.16222,evaluation
153.0,172.36552,evaluation
172.0,150.55095,evaluation
140.0,165.34334,evaluation
135.0,155.3189,evaluation
125.0,143.31178,evaluation
122.0,139.3872,evaluation
110.0,139.99434,evaluation
110.0,136.41942,evaluation
102.0,131.69365,evaluation
106.0,148.94829,evaluation
133.0,177.71666,evaluation
184.0,184.59901,evaluation
182.0,184.11494,evaluation
174.0,192.16197,evaluation
178.0,177.82521,evaluation
167.0,172.09337,evaluation
153.0,163.0629,evaluation
160.0,158.01129,evaluation
168.0,157.7686,evaluation
161.0,164.61139,evaluation
164.0,165.28868,evaluation
145.0,158.76488,evaluation
140.0,152.64201,evaluation
150.0,145.61238,evaluation
135.0,139.86847,evaluation
125.0,134.46587,evaluation
112.0,145.2228,evaluation
107.0,126.02673,evaluation
122.0,109.13885,evaluation
127.0,110.9951,evaluation
106.0,99.2314,evaluation
90.0,90.85516,evaluation
85.0,93.86117,evaluation
92.0,101.551575,evaluation
152.0,140.68636,evaluation
105.0,124.04581,evaluation
78.0,81.0513,evaluation
58.0,72.60585,evaluation
51.0,60.026432,evaluation
58.0,55.333427,evaluation
53.0,63.370586,evaluation
58.0,68.90107,evaluation
72.0,98.29253,evaluation
70.0,153.37881,evaluation
77.0,168.04912,evaluation
85.0,180.67363,evaluation
90.0,170.84727,evaluation
117.0,159.9282,evaluation
118.0,173.28726,evaluation
132.0,167.9248,evaluation
130.0,164.4663,evaluation
138.0,113.518715,evaluation
97.0,170.12878,evaluation
117.0,213.10667,evaluation
116.0,155.50815,evaluation
149.0,142.75249,evaluation
169.0,165.05879,evaluation
