neighbor__5024,neighbor__1421,neighbor__1426
132.62,88.32,58.2
132.95,73.02,56.92
120.3,73.88,50.12
99.88,64.68,48.58
90.15,61.1,46.18
74.85,55.42,32.62
65.5,53.1,31.45
69.0,48.68,35.17
76.45,42.65,39.7
82.5,42.48,39.5
82.85,42.65,33.2
69.38,46.9,25.45
69.0,46.55,17.55
62.8,39.1,9.6
48.98,33.42,7.65
42.8,26.7,8.85
41.68,33.85,8.57
42.92,43.1,16.92
46.42,51.12,25.82
56.65,72.95,69.68
113.2,98.52,71.28
140.35,101.88,78.72
127.45,110.15,85.02
126.45,102.38,92.12
100.52,86.45,98.52
87.82,73.73,62.25
77.12,66.92,68.62
73.7,62.82,53.7
64.5,51.78,39.55
77.45,49.8,35.5
97.12,43.02,42.75
98.02,50.05,42.9
103.68,59.95,45.38
113.22,53.32,54.12
151.7,46.75,89.52
123.68,41.82,64.08
109.48,26.52,60.0
81.08,17.65,37.47
73.78,13.38,62.7
71.68,10.68,76.6
80.08,13.92,81.03
86.98,41.65,61.9
92.4,35.08,60.32
89.45,30.0,63.68
80.62,35.3,66.7
74.9,34.05,62.15
72.05,27.52,53.08
72.5,34.83,36.05
93.1,21.22,33.92
96.7,20.12,54.4
93.25,19.62,59.28
92.98,33.75,65.12
88.88,44.55,57.0
82.1,45.98,58.58
78.8,36.7,66.2
84.7,20.52,77.5
94.98,12.0,61.42
99.62,8.68,33.85
88.1,7.45,15.4
103.38,30.98,15.15
100.38,40.8,15.8
91.7,44.28,23.62
91.78,51.92,46.1
104.15,62.52,33.72
88.65,51.1,27.18
67.5,42.22,16.58
58.2,37.33,11.12
56.88,36.8,10.3
59.35,33.1,7.32
58.48,27.02,5.2
73.65,23.7,3.47
73.62,17.65,3.0
68.95,12.25,3.2
65.8,12.68,4.35
61.35,15.48,2.72
46.8,21.85,7.95
41.92,26.02,7.75
41.98,25.78,9.02
43.12,24.95,9.7
43.3,27.1,7.5
54.55,21.55,6.25
75.42,29.82,5.28
73.45,32.65,7.25
68.3,33.4,7.05
66.65,41.15,12.48
73.2,44.7,30.8
80.32,38.95,46.85
81.38,49.18,44.18
69.0,56.88,26.9
54.98,57.05,14.0
45.22,50.55,8.48
46.4,43.1,6.08
63.5,39.1,5.85
62.68,31.12,4.35
55.35,16.98,2.17
54.8,15.98,1.6
44.3,15.22,2.3
36.17,15.88,1.82
34.72,19.77,4.95
35.92,18.75,3.32
