actual,prediction,split
73.85,70.08956,evaluation
59.62,67.0597,evaluation
60.85,67.28347,evaluation
62.98,62.58426,evaluation
60.25,62.254116,evaluation
66.53,65.02049,evaluation
76.48,62.873856,evaluation
77.3,64.39266,evaluation
67.12,68.486885,evaluation
70.28,65.94945,evaluation
63.5,63.042328,evaluation
55.97,39.46324,evaluation
52.7,47.906548,evaluation
50.28,44.383415,evaluation
55.42,48.817787,evaluation
56.08,56.126328,evaluation
83.3,66.06872,evaluation
105.2,72.846146,evaluation
105.18,70.52585,evaluation
92.02,69.77423,evaluation
75.18,72.478226,evaluation
72.82,73.4328,evaluation
80.42,73.29732,evaluation
77.42,70.51421,evaluation
69.75,67.91939,evaluation
63.05,63.796448,evaluation
50.85,64.79538,evaluation
40.3,64.236984,evaluation
48.32,65.46402,evaluation
54.25,63.160355,evaluation
59.55,63.150223,evaluation
86.82,69.70178,evaluation
80.38,68.32188,evaluation
70.88,66.270065,evaluation
55.0,60.355522,evaluation
44.12,56.97441,evaluation
40.72,54.803513,evaluation
40.7,54.393394,evaluation
41.7,56.401386,evaluation
60.72,61.212807,evaluation
93.18,66.87416,evaluation
100.88,70.857216,evaluation
96.1,70.948715,evaluation
95.9,69.99045,evaluation
81.6,69.97362,evaluation
83.4,70.20418,evaluation
71.78,68.61519,evaluation
69.4,67.23814,evaluation
55.1,65.7541,evaluation
58.7,65.15516,evaluation
57.75,63.409702,evaluation
66.58,63.442825,evaluation
70.62,62.009945,evaluation
69.57,60.473007,evaluation
63.0,59.92609,evaluation
61.28,60.508068,evaluation
51.18,59.63039,evaluation
43.85,58.898586,evaluation
44.8,58.522247,evaluation
40.37,55.65072,evaluation
41.92,54.89625,evaluation
40.72,55.65264,evaluation
38.17,56.044415,evaluation
49.42,62.78455,evaluation
81.25,68.156136,evaluation
95.48,71.7209,evaluation
97.42,72.78864,evaluation
100.3,72.142624,evaluation
93.62,69.82355,evaluation
77.88,67.617615,evaluation
76.95,65.94255,evaluation
77.9,63.51219,evaluation
67.2,62.405006,evaluation
57.42,60.5461,evaluation
64.47,58.932995,evaluation
65.58,60.308056,evaluation
61.12,60.53038,evaluation
72.35,60.95233,evaluation
62.05,61.37508,evaluation
48.5,59.443848,evaluation
41.62,58.01788,evaluation
38.58,56.259457,evaluation
40.1,57.772057,evaluation
38.15,56.983032,evaluation
38.75,53.735794,evaluation
37.72,56.628876,evaluation
28.3,58.620293,evaluation
29.7,61.64546,evaluation
57.48,66.78729,evaluation
63.15,70.46028,evaluation
52.65,71.11148,evaluation
72.9,71.757355,evaluation
69.55,73.030174,evaluation
67.7,71.43109,evaluation
57.62,68.721794,evaluation
57.35,68.17746,evaluation
49.75,66.94811,evaluation
45.58,64.50372,evaluation
52.4,63.99684,evaluation
54.55,63.50277,evaluation
39.0,62.677204,evaluation
34.78,63.756092,evaluation
32.6,63.772335,evaluation
25.02,63.237534,evaluation
17.27,63.059258,evaluation
13.37,60.085125,evaluation
13.52,60.785576,evaluation
13.78,59.474873,evaluation
14.32,62.83238,evaluation
13.5,64.099785,evaluation
12.65,65.50187,evaluation
19.85,66.612915,evaluation
52.78,69.73956,evaluation
59.9,68.99,evaluation
60.53,70.53051,evaluation
62.65,70.72475,evaluation
57.92,71.60666,evaluation
57.95,70.9095,evaluation
54.68,71.2153,evaluation
46.05,70.763794,evaluation
