neighbor__5024,neighbor__1421,neighbor__1426
64.75,59.0,67.5
83.5,67.0,91.75
136.5,103.0,140.75
173.5,138.25,174.5
185.5,137.25,209.0
212.5,143.25,218.25
219.5,144.5,213.0
201.75,135.5,189.25
173.25,162.75,170.75
164.75,146.5,169.5
171.25,148.0,167.75
165.0,177.0,158.0
168.75,182.0,162.0
189.0,181.5,183.5
212.25,194.5,209.25
210.25,205.5,195.75
174.0,179.75,169.75
133.5,139.25,130.75
101.75,98.25,103.25
93.75,83.0,88.75
69.5,60.5,66.5
59.75,55.0,54.0
54.0,51.5,47.25
55.5,53.25,47.0
58.0,68.75,75.75
98.5,110.0,145.25
175.0,185.0,157.75
221.0,201.5,196.75
265.5,215.75,248.5
312.5,191.5,282.5
290.0,189.25,259.25
248.0,171.5,248.0
279.5,148.75,237.25
229.75,179.75,233.75
200.0,232.0,244.0
204.0,254.0,234.25
246.0,307.25,253.5
282.0,315.0,268.5
291.5,269.75,254.0
236.75,186.75,224.0
192.5,127.0,183.0
173.0,117.0,145.0
151.5,97.25,124.5
121.5,79.25,100.0
114.25,94.75,90.0
106.0,90.5,106.5
110.25,89.75,123.0
134.0,130.75,141.0
186.0,168.0,177.5
245.25,200.5,242.5
263.75,270.75,303.5
295.0,253.25,386.5
272.0,266.25,349.5
247.5,209.0,252.5
249.5,203.75,262.75
181.0,215.75,260.25
164.75,223.0,205.0
162.25,210.25,166.75
166.0,219.75,193.5
172.25,248.5,234.5
211.75,221.75,235.75
287.0,199.0,315.0
310.25,185.75,343.25
239.5,138.75,176.25
153.0,90.25,113.25
101.0,89.5,84.0
90.75,84.5,80.5
81.25,76.0,66.5
135.75,128.25,113.5
151.0,138.25,151.5
184.5,128.25,184.0
219.5,127.0,201.75
206.75,140.0,213.0
185.25,139.25,196.75
165.0,128.0,174.0
150.25,141.75,132.25
146.75,135.5,125.25
159.0,127.25,145.5
178.0,125.75,167.5
172.0,132.75,167.5
171.75,154.5,180.75
186.5,180.5,220.25
234.5,180.0,263.5
235.25,139.25,255.25
212.5,111.25,212.0
190.25,91.5,234.0
217.5,103.25,177.5
187.5,190.0,161.5
181.75,199.5,165.25
180.0,213.0,175.0
192.5,223.5,186.5
216.0,230.75,197.25
227.5,236.0,205.5
225.0,227.5,198.25
218.5,227.0,188.5
209.75,215.5,181.5
205.5,194.25,168.0
170.5,179.25,147.0
138.0,156.75,121.0
128.75,138.75,116.5
119.0,120.0,108.75
117.5,111.0,98.5
112.25,109.75,97.0
110.25,108.5,98.25
117.75,120.5,106.25
146.5,144.25,125.75
177.25,180.0,154.25
190.75,195.0,177.0
185.25,212.75,174.0
192.75,208.5,183.25
201.25,190.5,183.0
187.5,199.0,177.0
174.75,213.5,170.25
193.25,223.0,179.25
223.75,233.25,189.75
247.75,248.0,210.75
236.25,250.75,225.0
205.25,246.0,168.5
144.0,255.25,125.5
103.0,227.75,93.25
79.0,182.75,73.0
78.75,111.25,58.5
76.0,91.5,61.25
67.75,83.0,54.0
60.25,80.0,48.5
59.25,80.75,50.0
64.5,83.25,50.25
70.5,83.0,52.5
80.25,85.5,64.25
103.25,105.75,92.75
127.75,118.75,115.75
138.75,128.0,125.5
144.25,139.5,126.75
130.5,138.75,112.75
111.25,142.25,100.75
105.75,147.5,106.5
127.0,156.0,121.5
172.0,170.25,143.0
195.75,177.75,165.5
230.25,182.75,162.5
287.0,185.0,175.25
305.5,164.25,218.25
308.0,153.75,264.0
254.5,145.0,204.75
96.25,114.0,104.0
82.5,108.0,78.5
75.0,104.5,72.25
72.75,92.0,66.25
69.0,88.25,65.0
84.75,104.25,69.75
110.75,135.5,77.5
142.25,142.5,90.5
191.25,130.75,119.5
204.5,117.25,150.75
171.75,82.5,129.75
116.5,61.0,122.0
94.75,47.0,110.5
84.75,50.0,82.5
81.0,54.75,77.25
106.25,76.75,85.25
133.5,127.0,99.0
188.5,217.5,148.0
301.25,238.5,217.25
282.75,202.75,252.75
271.75,185.0,238.25
328.5,225.5,218.25
313.5,152.25,260.5
299.75,269.25,258.0
244.75,314.75,247.25
215.25,274.5,232.0
198.25,237.25,227.75
167.0,234.5,224.0
190.25,241.25,231.0
224.0,293.0,245.75
192.0,252.0,209.75
177.0,199.0,157.25
186.0,185.0,154.0
218.0,149.0,165.25
199.5,123.0,184.0
159.5,98.0,119.25
145.0,92.25,128.75
172.0,125.0,153.5
202.0,163.0,215.75
206.0,181.75,225.75
212.5,201.75,229.0
243.0,247.25,261.0
303.5,291.0,295.5
317.5,250.5,299.5
273.0,263.0,297.0
270.0,262.0,302.25
310.0,236.5,300.25
314.0,239.5,336.0
288.5,232.75,354.75
273.0,222.5,333.75
272.5,212.75,322.25
323.5,223.75,349.5
298.5,221.25,347.5
191.5,133.0,198.25
142.5,120.5,156.25
118.0,96.5,137.25
94.0,81.75,110.25
86.5,76.5,91.5
90.0,70.75,73.0
96.5,68.5,89.25
114.5,85.25,104.5
143.5,125.25,120.25
185.0,133.5,153.75
191.0,126.25,176.0
168.0,115.5,162.0
152.5,103.5,150.25
130.0,87.75,120.75
103.0,79.25,83.0
90.0,66.25,88.25
82.0,65.0,78.5
72.0,66.75,74.25
74.0,62.0,75.0
73.0,58.75,73.25
66.0,57.5,64.0
56.0,55.0,51.0
60.0,52.25,48.75
63.0,51.0,50.0
58.0,45.0,46.25
56.0,45.0,44.25
56.0,47.0,47.0
59.0,49.75,53.75
60.0,42.5,59.25
52.0,47.5,64.75
43.5,41.75,50.25
38.5,49.25,42.25
44.0,52.25,37.5
59.5,40.25,51.25
57.0,41.25,59.0
49.5,49.5,49.5
45.0,49.0,39.75
45.0,57.0,44.5
59.5,36.25,50.25
59.5,44.75,54.75
60.0,58.0,49.0
56.5,57.25,52.0
61.5,69.25,57.0
95.5,91.25,91.75
158.5,107.75,179.5
66.5,91.75,52.75
46.0,83.75,38.25
32.0,49.5,30.5
26.5,36.5,23.5
21.5,28.0,24.5
22.5,25.0,26.0
37.5,27.5,42.75
50.0,41.0,73.25
50.0,62.5,91.25
56.5,72.75,78.5
72.0,73.75,80.5
94.0,78.0,97.75
103.0,78.25,92.25
92.5,84.5,90.75
82.0,85.0,74.25
78.5,84.5,78.5
69.0,74.75,84.25
70.0,78.75,76.5
84.0,85.5,91.75
94.5,89.0,80.25
83.5,79.75,83.25
64.0,60.0,75.0
53.0,54.5,54.5
47.0,48.0,48.25
44.0,49.25,49.25
41.5,43.5,40.75
40.5,41.75,38.75
40.5,39.5,33.5
43.5,36.0,30.0
54.5,46.25,39.25
75.0,75.75,64.75
101.5,109.0,90.25
143.5,143.0,114.75
172.0,160.0,147.75
160.25,177.0,169.0
132.25,183.5,166.5
144.5,180.75,152.5
160.0,160.5,175.75
172.0,177.5,183.5
171.25,198.0,177.5
165.0,196.75,163.0
165.0,202.0,160.75
204.0,244.75,165.75
218.25,194.75,178.25
111.25,58.25,111.75
71.25,52.25,82.25
64.0,46.0,57.25
57.5,65.5,50.0
