neighbor__124,neighbor__1421,neighbor__1426
36.52,50.05,8.4
27.17,27.78,7.5
21.25,21.62,2.22
19.45,16.85,3.25
22.88,18.4,3.75
26.22,19.62,5.32
26.85,22.32,10.92
34.48,29.28,37.08
63.97,63.98,57.25
71.55,80.03,56.5
63.5,74.18,55.88
57.9,76.45,49.5
59.78,69.1,45.2
56.05,59.15,27.72
53.05,44.35,26.88
48.25,46.5,20.68
47.42,37.62,13.42
44.25,27.52,13.82
42.95,21.88,17.92
41.28,30.92,27.2
43.12,41.38,26.72
44.12,40.75,16.2
47.38,46.6,14.12
46.82,50.5,9.72
41.5,41.38,4.57
36.95,30.65,5.8
33.15,25.3,4.97
31.78,25.82,8.57
29.15,29.0,7.9
30.2,30.68,9.52
42.2,47.12,44.7
65.23,87.72,67.47
74.4,88.95,64.03
74.18,77.12,60.35
71.15,88.32,58.2
66.62,73.02,56.92
60.3,73.88,50.12
58.47,64.68,48.58
58.3,61.1,46.18
54.85,55.42,32.62
54.18,53.1,31.45
49.95,48.68,35.17
47.15,42.65,39.7
46.25,42.48,39.5
55.25,42.65,33.2
54.6,46.9,25.45
49.12,46.55,17.55
37.25,39.1,9.6
33.4,33.42,7.65
29.45,26.7,8.85
30.62,33.85,8.57
28.35,43.1,16.92
51.62,51.12,25.82
85.57,72.95,69.68
87.28,98.52,71.28
90.52,101.88,78.72
93.15,110.15,85.02
91.2,102.38,92.12
89.15,86.45,98.52
81.4,73.73,62.25
68.03,66.92,68.62
60.72,62.82,53.7
69.38,51.78,39.55
56.02,49.8,35.5
51.47,43.02,42.75
51.4,50.05,42.9
61.1,59.95,45.38
68.55,53.32,54.12
68.78,46.75,89.52
68.22,41.82,64.08
47.8,26.52,60.0
36.3,17.65,37.47
28.0,13.38,62.7
31.42,10.68,76.6
34.9,13.92,81.03
77.05,41.65,61.9
72.55,35.08,60.32
68.78,30.0,63.68
67.18,35.3,66.7
62.9,34.05,62.15
64.53,27.52,53.08
58.95,34.83,36.05
44.7,21.22,33.92
42.3,20.12,54.4
45.1,19.62,59.28
43.38,33.75,65.12
49.65,44.55,57.0
61.45,45.98,58.58
68.12,36.7,66.2
44.95,20.52,77.5
30.5,12.0,61.42
27.38,8.68,33.85
35.78,7.45,15.4
48.35,30.98,15.15
55.58,40.8,15.8
58.25,44.28,23.62
65.85,51.92,46.1
69.0,62.52,33.72
65.4,51.1,27.18
56.62,42.22,16.58
49.72,37.33,11.12
45.05,36.8,10.3
44.58,33.1,7.32
44.48,27.02,5.2
40.1,23.7,3.47
38.17,17.65,3.0
34.33,12.25,3.2
32.65,12.68,4.35
33.7,15.48,2.72
37.1,21.85,7.95
45.72,26.02,7.75
45.3,25.78,9.02
34.4,24.95,9.7
38.8,27.1,7.5
35.62,21.55,6.25
38.55,29.82,5.28
40.88,32.65,7.25
42.1,33.4,7.05
45.75,41.15,12.48
52.8,44.7,30.8
59.7,38.95,46.85
60.95,49.18,44.18
60.38,56.88,26.9
59.42,57.05,14.0
52.15,50.55,8.48
47.2,43.1,6.08
43.05,39.1,5.85
41.55,31.12,4.35
36.2,16.98,2.17
31.12,15.98,1.6
28.78,15.22,2.3
30.42,15.88,1.82
32.47,19.77,4.95
35.67,18.75,3.32
35.95,20.65,4.85
35.5,20.78,4.45
35.35,23.78,4.28
36.3,25.6,4.08
37.42,27.2,3.1
40.08,31.08,2.72
42.08,31.93,4.8
42.82,35.92,7.42
49.48,40.9,34.3
64.55,46.03,46.85
61.4,52.0,55.35
57.65,51.05,46.68
49.95,46.1,55.77
53.12,43.82,44.6
49.9,38.88,42.78
48.18,39.78,41.0
46.47,39.0,35.58
45.58,35.3,25.18
45.3,38.12,20.02
43.98,35.4,21.17
41.08,35.1,20.35
47.2,31.4,24.35
46.45,38.0,24.35
52.2,59.05,28.68
58.22,62.12,26.22
58.15,54.0,23.08
52.08,34.38,13.82
42.5,26.52,11.08
41.25,20.35,8.95
41.4,28.72,7.85
50.48,35.08,10.95
66.25,77.62,61.22
85.22,96.85,95.88
85.48,93.75,95.12
85.38,89.25,88.93
73.5,91.48,93.75
68.45,91.6,77.45
63.85,84.28,70.05
60.05,82.22,69.38
48.35,88.9,60.58
42.88,79.72,61.7
36.98,58.12,63.2
37.48,48.18,62.47
35.05,49.58,65.42
45.32,46.32,62.7
65.75,67.72,58.15
